PR_ALMACEN,PR_CLAVE,PR_DESCRIPCION,PR_COSTO,PR_EXISTENCIA,CLASIFICACION1,PROVEEDOR,PS_NOMBRE
101,C21190251,FIGURA VENDEDOR 2 PZAS BARRO,200,0,54,119,ARTE MANOS
101,C11190008,ARETES BORDADOS CHIAPAS,50,0,66,119,ARTE MANOS
101,C11190009,ARETES CHAQUIRA C BORLA,40,0,66,119,ARTE MANOS
101,C11190010,ARETES MACRAME,40,0,66,119,ARTE MANOS
101,C11190011,ARETES CHAQUIRA,50,0,66,119,ARTE MANOS
101,C11190012,ARETES CHAQUIRA COL PATRIOS,40,0,66,119,ARTE MANOS
101,C6119184,BLUSA LINO BORDADO ROCOCO,2240,0,53,119,ARTE MANOS
101,C6119185,BLUSA ROCOCO MANTA,640,0,53,119,ARTE MANOS
101,C6119186,BLUSA ROCOCO MANTA,560,0,53,119,ARTE MANOS
101,C6119187,BLUSA ROCOCO GASA,1560,0,53,119,ARTE MANOS
101,C6119188,BLUSA ROCOCO GASA,928,0,53,119,ARTE MANOS
101,C6119189,BLUSA BORDADO SENCILLO MANTA,320,0,53,119,ARTE MANOS
101,C6119190,TAPETE LANA TINTES NATURALES,4000,0,53,119,ARTE MANOS
101,C6119191,BOLSA C ASAS LANA TELAR NO.1,820,0,53,119,ARTE MANOS
101,C6119192,BOLSA C ASAS LANA TELAR NO.2,640,0,53,119,ARTE MANOS
101,C6119193,COSMETIQUERA LANA CH NO.3,320,1,53,119,ARTE MANOS
101,C6119194,COSMETIQUERA LANA MED  NO.4,480,1,53,119,ARTE MANOS
101,C619910001,JORONGO GUIRNALDA ROSAS LANA,2017.24,0,53,1991,ARANTXA CHIRINO
101,C619910002,JORONGO LAZO ROJO LANA,2327.59,0,53,1991,ARANTXA CHIRINO
101,C619910003,JORONGO LAZO AZUL LANA,2482.76,0,53,1991,ARANTXA CHIRINO
101,C619910004,QUEXQUEMETL ENAMORADX PARTE 1 LANA,2120.69,0,53,1991,ARANTXA CHIRINO
101,C619910005,QUEXQUEMETL ENAMORADX PARTE 2 LANA,2224.14,0,53,1991,ARANTXA CHIRINO
101,C619910006,QUEXQUEMETL GUIRNALDA ROSAS LANA,1965.52,0,53,1991,ARANTXA CHIRINO
101,C619910007,QUEXQUEMITL RAMO DE ROSAS LANA,1810.34,0,53,1991,ARANTXA CHIRINO
101,C619910008,BOLSA FLUJO 1 LANA 38X35,984.31,0,53,1991,ARANTXA CHIRINO
101,C619910009,BOLSA UTERO LANA 37X37,1148.28,0,53,1991,ARANTXA CHIRINO
101,C619910010,COJIN  LANA 40X40,879.31,0,53,1991,ARANTXA CHIRINO
101,CC0141298012,POSTAL CRANEOS,38,0,58,1298,SANTIAGO FERNANDEZ ALVA
103,CC0141298012,POSTAL CRANEOS,38,0,58,1298,SANTIAGO FERNANDEZ ALVA
